key,title_norm,pubid,scholar_cites,has_scholar_id
pollet2010twgeneralized,no evidence for the generalized triverswillard hypothesis,0EnyYjriUFMC,8,FALSE
pollet2011siblings,an evolutionary perspective on siblings rivals and resources,YOwf2qJgpHMC,99,FALSE
pollet2011snsonline,use of social network sites and instant messaging does not lead to increased offline social network size or to emotionally closer relationships with offline network members,YsMSGLbcyi4C,403,FALSE
pollet2011testosterone,testosterone levels and their associations with lifetime number of opposite sex partners and remarriage in a large sample of american,5nxA0vEk-isC,102,FALSE
pollet2012grandparents,a gendered need explanation does not fully explain lineage based differences in grandparental investment found in a large british,L8Ckcad2t8MC,4,FALSE
pollet2013extramile,going that extra mile individuals travel further to maintain facetoface contact with highly related kin than with less related kin,r0BpntZqJG4C,69,FALSE
pollet2013fadingred,fading red no evidence that colour of trunks influences outcomes in the ultimate fighting championship ufc,blknAaTinKkC,19,FALSE
pollet2013forbes,the golden years men from the forbes 400,M3NEmzRMIkIC,24,FALSE
pollet2013pvalues,much ado about p what does a p value mean when testing hypotheses with aggregated crosscultural data in the field of evolution and human behavior,YFjsv_pBGBYC,22,FALSE
pollet2013testosterone,testosterone levels are negatively associated with fatherhood in males but positively related to offspring count in fathers,TFP_iSt0sucC,34,FALSE
pollet2013ufc,born to win testing the fighting hypothesis in realistic fights lefthandedness in the ultimate fighting championship,hMod-77fHWUC,59,FALSE
pollet2014crosscultural,what can crosscultural correlations teach us about human nature,2P1L_qKh6hAC,171,FALSE
pollet2014lefthandedness,opponent lefthandedness does not affect fight outcomes for ultimate fighting championship,J_g5lzvAfSwC,7,FALSE
pollet2014parasite,a reanalysis of the relationship between parasite stress and authoritarianism,lSLTfruPkqcC,9,FALSE
pollet2015aggregation,taking the aggravation out of data aggregation a conceptual guide to dealing with statistical issues related to the pooling of individuallevel observational data,4OULZ7Gr8RgC,112,FALSE
pollet2015finiteness,grounding the data a response to population finiteness is not a concern for null hypothesis significance testing when studying human behavior,bFI3QPDXJZMC,0,FALSE
pollet2017baseline,baseline probabilities for twoalternative forced choice tasks when judging stimuli in evolutionary psychology a methodological note,vRqMK49ujn8C,18,FALSE
pollet2017outliers,to remove or not to remove the impact of outlier handling on significance testing in testosterone data,SP6oXDckpogC,153,FALSE
pollet2017sexratios,the potential pitfalls of studying adult sex ratios at aggregate levels in humans,08ZZubdj9fEC,32,FALSE
pollet2018selsa,measurement equivalence between men and women in the abbreviated social and emotional loneliness scale for adults selsa,J-pR_7NvFogC,13,FALSE
pollet2019diverse,how diverse are the samples used in the journals evolution human behavior,LjlpjdlvIbIC,138,FALSE
pollet2019red,do red objects enhance sexual attractiveness no evidence from two large replications,ye4kPcJQO24C,10,FALSE
pollet2020jealousy,jealousy as a function of rival characteristics two large replication studies and metaanalyses support gender differences in reactions to rival attractiveness but not dominance,VL0QpB8kHFEC,33,FALSE
pollet2021fattalk,engagement with fat talk as a function of social comparison and body image concerns two replication studies support main effects but do not support an interaction effect,kVjdVfd2voEC,0,FALSE
pollet2022loneliness,are we measuring loneliness in the same way in men and women in the general population and in the older population two studies of measurement equivalence,KUbvn5osdkgC,19,FALSE
pollet2022nsssubscales,subscales in the national student survey nss,BwyfMAYsbu0C,9,FALSE
pollet2024bodyimage,sample characteristics for quantitative analyses in emphbody image,a3BOlSfXSfwC,8,FALSE
pollet2024nss,consequences of arbitrary binning the midpoint category in survey data an illustration with student satisfaction in national student survey,lvd772isFD0C,6,FALSE
pollet2025firstgen,firstgeneration students adaptation to university the role of student social networks,Ak0FvsSvgGUC,0,FALSE
pollet2025women,an index of her own an investigation of the proportion of women indexed in evolutionary psychology textbooks,NyGDZy8z5eUC,0,FALSE
pollet2026birthorder,revisiting the relationship between birth order and romantic jealousy no support for an effect in four samples,jL-93Qbq4QoC,0,FALSE
pollet2026caq,an exploratory psychometric network analysis of the college adaptation questionnaire in a sample of first year students,uDGL6kOW6j0C,0,FALSE
rippon2022selfefficacy,the role of selfefficacy and selfesteem in mediating positive associations between functional social support and psychological wellbeing in people with a mental health diagnosis,86PQX7AUzd4C,93,FALSE
roberts2009networksize,exploring variation in active network size,u-x6o8ySG0sC,582,FALSE
roberts2024instagram,no relationships between selfreported instagram,anf4URPfarAC,4,FALSE
ronay2018hair,no evidence for a relationship between hair testosterone concentrations and 2d4d,VOx2b1Wkg3QC,34,FALSE
saxton2019ideology,can people detect ideological stance from facial photographs,ZuybSZzF8UAC,1,FALSE
saxton2020children,children aged 79 prefer cuteness in baby faces and femininity in womens faces,35r97b3x0nAC,3,FALSE
saxton2020hungry,hungry people prefer larger bodies and objects the importance of testing boundary effects,1yQoGdGgb4wC,7,FALSE
shiramizu2025congruency,testing the congruency hypothesis using metaanalysis are changes in oral contraceptive use correlated with partnered womens sexual satisfaction,2tRrZ1ZAMYUC,1,FALSE
shiramizu2026digit,little evidence for group differences in 2d4d,buQ7SEKw-1sC,0,FALSE
simanko2020middleborns,no evidence that middleborns feel less close to family and closer to friends than other birth orders,fEOibwPWpKIC,5,FALSE
stirrat2012facialwidth,bizygomatic width is associated with death by contact violence in a forensic sample narrowfaced males are more likely to die from contact violence,ZeXyd9-uunAC,129,FALSE
stulp2011caesarean,parental height differences predict the need for an emergency caesarean section,M3ejUd6NZC8C,80,FALSE
stulp2012curvilinear,a curvilinear effect of height on reproductive success in human males,qxL8FJ1GzNcC,92,FALSE
stulp2012femaleheight,the effect of female height on reproductive success is negative in western,7PzlFSSx8tAC,72,FALSE
stulp2012iasc,intralocus sexual conflict over human height,mB3voiENLucC,81,FALSE
stulp2012referees,high and mighty height increases authority in professional refereeing,e5wmG9Sq2KIC,85,FALSE
stulp2013heightpairing,are human mating preferences with respect to height reflected in actual pairings,j3f4tGmQtD8C,89,FALSE
stulp2013presidents,tall claims sense and nonsense about the importance of height of us,RHpTSmoSYBkC,193,FALSE
stulp2013taller,women want taller men more than men want shorter women,iH-uZ7U-co4C,111,FALSE
stulp2014nonlinear,nonlinear associations between stature and mate choice characteristics for american,RYcK_YlVTxYC,32,FALSE
stulp2015dominance,height is positively related to interpersonal dominance in dyadic interactions,3s1wT3WcHBgC,203,FALSE
stulp2015notuniquely,the notalwaysuniquelypredictive power of an evolutionary approach to understanding our notsocomputational nature,fPk4N6BV_jEC,3,FALSE
stulp2017assortative,assortative mating for human height a metaanalysis,uWQEDVKXjbEC,123,FALSE
szabelska2021tutorial,a tutorial for exploratory research an eightstep approach,ML0RJ9NH7IQC,18,FALSE
thompson2022friendships,friendships loneliness and psychological wellbeing in older adults a limit to the benefit of increasing the number friendships,bz8QjSJIRt4C,59,FALSE
thompson2024loneliness,an exploratory psychometric network analysis of loneliness scales in a sample of older adults,hMsQuOkrut0C,25,FALSE
tifferet2016sibling,predicting sibling investment by perceived sibling resemblance,HoB7MX3m0LUC,17,FALSE
tulin2018cohesion,perceived group cohesion versus actual social structure a study using social network analysis of egocentric facebook,mvPsJ3kp5DgC,77,FALSE
tybur2014bis,behavioral immune system methods surveying the past to shape the future,35N4QoGY0k4C,115,FALSE
vanprooijen2015conspiracy,political extremism predicts belief in conspiracy theories,pqnbT2bcN3wC,925,FALSE
vantoorenburg2015email,what a difference your email makes effects of informal email addresses in online re,zA6iFVUQeVQC,31,FALSE
brown2022gender,gender selfdisclosure and emotional closeness in friendships an egocentric social network study,NA,NA,FALSE
brown2023hexaco,hexaco,NA,NA,FALSE
demetriou2015age,age differences between us,NA,NA,FALSE
mohamed2021idealmale,3d,NA,NA,FALSE
pollet2011networklayers,extraverts have larger social network layers but do not feel emotionally closer to individuals at any layer,NA,NA,FALSE
pollet2026rankings,how consistent are uk,NA,NA,FALSE
sillence2021facebook,facebook,NA,NA,FALSE
